alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
5.900,0.9080,0.00701,0.00269,-0.0444,0.1182,0.9967,-2.0620,0.0000,0.0000,0.0000,0.2916
6.000,0.9208,0.00713,0.00277,-0.0447,0.1125,0.9972,-2.1223,0.0000,0.0000,0.0000,0.2911
6.100,0.9332,0.00727,0.00287,-0.0449,0.1034,0.9978,-2.1822,0.0000,0.0000,0.0000,0.2907
6.200,0.9461,0.00735,0.00293,-0.0452,0.0998,0.9983,-2.2440,0.0000,0.0000,0.0000,0.2902
6.300,0.9585,0.00749,0.00303,-0.0455,0.0936,0.9988,-2.3050,0.0000,0.0000,0.0000,0.2897
6.400,0.9711,0.00761,0.00311,-0.0457,0.0867,0.9992,-2.3671,0.0000,0.0000,0.0000,0.2893
6.500,0.9839,0.00770,0.00319,-0.0460,0.0835,0.9996,-2.4306,0.0000,0.0000,0.0000,0.2889
6.600,0.9962,0.00785,0.00329,-0.0463,0.0779,0.9999,-2.4932,0.0000,0.0000,0.0000,0.2884
6.700,1.0067,0.00795,0.00337,-0.0460,0.0724,1.0000,-2.5514,0.0000,0.0000,0.0000,0.2876
6.800,1.0164,0.00803,0.00344,-0.0457,0.0703,1.0000,-2.6086,0.0000,0.0000,0.0000,0.2867
6.900,1.0257,0.00815,0.00353,-0.0452,0.0661,1.0000,-2.6646,0.0000,0.0000,0.0000,0.2857
7.000,1.0349,0.00828,0.00363,-0.0447,0.0599,1.0000,-2.7210,0.0000,0.0000,0.0000,0.2847
7.100,1.0449,0.00836,0.00370,-0.0444,0.0577,1.0000,-2.7801,0.0000,0.0000,0.0000,0.2839
7.200,1.0546,0.00847,0.00379,-0.0440,0.0547,1.0000,-2.8387,0.0000,0.0000,0.0000,0.2830
7.300,1.0641,0.00860,0.00388,-0.0436,0.0513,1.0000,-2.8975,0.0000,0.0000,0.0000,0.2821
7.400,1.0742,0.00870,0.00397,-0.0433,0.0476,1.0000,-2.9617,0.0000,0.0000,0.0000,0.2813
7.500,1.0846,0.00877,0.00404,-0.0431,0.0465,1.0000,-3.0364,0.0000,0.0000,0.0000,0.2806
7.600,1.0950,0.00886,0.00412,-0.0428,0.0452,1.0000,-3.1108,0.0000,0.0000,0.0000,0.2799
7.700,1.1053,0.00896,0.00421,-0.0425,0.0433,1.0000,-3.1850,0.0000,0.0000,0.0000,0.2792
7.800,1.1154,0.00909,0.00431,-0.0423,0.0410,1.0000,-3.2590,0.0000,0.0000,0.0000,0.2784
7.900,1.1257,0.00920,0.00441,-0.0420,0.0383,1.0000,-3.3343,0.0000,0.0000,0.0000,0.2777
8.000,1.1363,0.00929,0.00449,-0.0418,0.0363,1.0000,-3.4115,0.0000,0.0000,0.0000,0.2771
8.100,1.1470,0.00937,0.00457,-0.0416,0.0358,1.0000,-3.4902,0.0000,0.0000,0.0000,0.2764
8.200,1.1576,0.00946,0.00465,-0.0414,0.0349,1.0000,-3.5691,0.0000,0.0000,0.0000,0.2758
8.300,1.1681,0.00956,0.00475,-0.0412,0.0337,1.0000,-3.6482,0.0000,0.0000,0.0000,0.2752
8.400,1.1784,0.00968,0.00485,-0.0410,0.0322,1.0000,-3.7272,0.0000,0.0000,0.0000,0.2745
8.500,1.1886,0.00981,0.00496,-0.0407,0.0305,1.0000,-3.8066,0.0000,0.0000,0.0000,0.2739
8.600,1.1990,0.00992,0.00506,-0.0405,0.0285,1.0000,-3.8872,0.0000,0.0000,0.0000,0.2733
8.700,1.2096,0.01002,0.00516,-0.0403,0.0269,1.0000,-3.9691,0.0000,0.0000,0.0000,0.2727
8.800,1.2204,0.01010,0.00525,-0.0401,0.0267,1.0000,-4.0530,0.0000,0.0000,0.0000,0.2721
8.900,1.2311,0.01019,0.00533,-0.0399,0.0264,1.0000,-4.1374,0.0000,0.0000,0.0000,0.2715
9.000,1.2417,0.01029,0.00543,-0.0397,0.0259,1.0000,-4.2223,0.0000,0.0000,0.0000,0.2709
9.100,1.2521,0.01040,0.00553,-0.0395,0.0252,1.0000,-4.3072,0.0000,0.0000,0.0000,0.2704
9.200,1.2624,0.01052,0.00564,-0.0393,0.0243,1.0000,-4.3922,0.0000,0.0000,0.0000,0.2698
9.300,1.2726,0.01065,0.00577,-0.0390,0.0233,1.0000,-4.4759,0.0000,0.0000,0.0000,0.2692
9.400,1.2827,0.01079,0.00590,-0.0388,0.0222,1.0000,-4.5607,0.0000,0.0000,0.0000,0.2686
9.500,1.2929,0.01092,0.00602,-0.0385,0.0208,1.0000,-4.6464,0.0000,0.0000,0.0000,0.2680
9.600,1.3032,0.01104,0.00614,-0.0382,0.0195,1.0000,-4.7328,0.0000,0.0000,0.0000,0.2674
9.700,1.3135,0.01115,0.00625,-0.0380,0.0188,1.0000,-4.8209,0.0000,0.0000,0.0000,0.2668
9.800,1.3241,0.01125,0.00635,-0.0378,0.0187,1.0000,-4.9119,0.0000,0.0000,0.0000,0.2663
9.900,1.3346,0.01135,0.00645,-0.0376,0.0186,1.0000,-5.0033,0.0000,0.0000,0.0000,0.2658
10.000,1.3450,0.01145,0.00656,-0.0374,0.0184,1.0000,-5.0950,0.0000,0.0000,0.0000,0.2652
10.100,1.3553,0.01156,0.00667,-0.0371,0.0181,1.0000,-5.1869,0.0000,0.0000,0.0000,0.2647
10.200,1.3655,0.01168,0.00679,-0.0369,0.0177,1.0000,-5.2789,0.0000,0.0000,0.0000,0.2641
10.300,1.3755,0.01181,0.00692,-0.0366,0.0172,1.0000,-5.3709,0.0000,0.0000,0.0000,0.2636
10.400,1.3854,0.01195,0.00705,-0.0363,0.0167,1.0000,-5.4628,0.0000,0.0000,0.0000,0.2630
10.500,1.3952,0.01210,0.00720,-0.0359,0.0160,1.0000,-5.5544,0.0000,0.0000,0.0000,0.2624
10.600,1.4048,0.01226,0.00735,-0.0356,0.0153,1.0000,-5.6457,0.0000,0.0000,0.0000,0.2618
10.700,1.4143,0.01242,0.00750,-0.0352,0.0145,1.0000,-5.7369,0.0000,0.0000,0.0000,0.2613
10.800,1.4240,0.01257,0.00766,-0.0349,0.0137,1.0000,-5.8280,0.0000,0.0000,0.0000,0.2607
10.900,1.4335,0.01273,0.00782,-0.0345,0.0129,1.0000,-5.9181,0.0000,0.0000,0.0000,0.2601
